CON_SMA_90;E4-1;CONNECTOR;N/A;SMA connector 90 degree for PCB;https://www.lihyeu.com.tw/chinese/prob.php?cid=53&cid_2=158&cid_3=239&cid_4=240&id=950;;;;;
PCBA_QSS017_MASS_PWR_P01;防潮箱A-4;PCBA;1;PCBA for QSS017_MASS_PWR_P01;Emb PCB;None;None;None;  None;  None
C_0.1u_50V_X7R_0603;K6;C;N/A;CAP CER 0.1UF 50V X7R 0603;https://www.digikey.tw/product-detail/zh/kemet/C0603C104M5RACTU/399-7845-1-ND;None;None;None;None;None
C_0.47u_16V_X7R_0603;K6;C;N/A;CAP CER 0.47UF 16V X7R 0603;https://www.digikey.tw/product-detail/zh/tdk-corporation/C1608X7R1C474K080AC/445-5192-1-ND;None;None;None;  None;  None
C_10n_25V_X7R_0603;book;C;N/A;0.01u 25V in 0603	;Guang Hua;None;None;None;   None;   None
C_10p_50V_C0G_0603;book;C;N/A;10pF 50V in 0603	;Guang Hua;None;None;None; None; None
C_18p_50V_C0G_0603;book;C;N/A;N/A;Guang Hua;;;;;
C_27p_50V_C0G_0603;book;C;N/A;N/A;Guang Hua;;;;;
C_10u_25V_X5R_0805;K10;C;N/A;10u 25V MLCC capacitor in 0805;https://www.digikey.tw/product-detail/zh/murata-electronics-north-america/GRM21BR61E106KA73K/490-16824-1-ND/7595732?cur=USD&lang=zh;None;None;None; None; None
C_10u_25V_X7R_1206;K11;C;N/A;CAP CER 10UF 25V X7R 1206;https://www.digikey.tw/product-detail/zh/murata-electronics/GRM31CR71E106KA12L/490-6518-1-ND;None;None;None; None; None
C_22u_10V_X7R_1206;E3;C;N/A;CAP CER 22UF 10V X7R 1206;https://www.digikey.tw/product-detail/zh/taiyo-yuden/LMK316AB7226KL-TR/587-3425-1-ND;;;;;
C_1u_25V_X7R_0603;K6;C;N/A;CAP CER 1UF 25V X7R 0603;https://www.digikey.tw/product-detail/zh/samsung-electro-mechanics/CL10B105KA8NNNC/1276-1184-1-ND/3889270;None;None;https://www.digikey.tw/product-detail/zh/tdk-corporation/C1608X7R1E105K080AB/445-5956-1-ND/2443997;      None;      None
C_1u_25V_X7R_0805;K9;C;N/A;CAP CER 1UF 25V X7R 0805;https://www.digikey.tw/product-detail/zh/w-rth-elektronik/885012207078/732-7672-1-ND;None;None;None; None; None
C_1u_16V_X7R_1206;K11;C;N/A;CAP CER 1UF 16V X7R 1206;https://www.digikey.tw/product-detail/zh/w-rth-elektronik/885012208036/732-7692-1-ND;None;None;None; None; None
C_2.2u_25V_X5R_0603;K6;C;N/A;CAP CER 2.2UF 25V X5R 0603;https://www.digikey.tw/product-detail/zh/taiyo-yuden/TMK107ABJ225KA-T/587-2909-1-ND/2649029;None;None;None;    None;    None
C_22n_25V_X7R_0603;book;C;N/A;N/A;Guang Hua;;;;;
C_3.3n_50V_C0G_0603;H4;C;N/A;CAP CER 3300PF 50V C0G/NP0 0603;https://www.digikey.tw/product-detail/zh/murata-electronics/GRM1885C1H332JA01D/490-6385-1-ND;;;;;
C_33n_16V_X7R_0603;book;C;N/A;N/A;Guang Hua;;;;;
C_4.7n_50V_C0G_0603;H4;C;N/A;CAP CER 4700PF 50V C0G/NP0 0603;https://www.digikey.tw/product-detail/zh/murata-electronics/GRM1885C1H472JA01D/490-9669-1-ND;;;;;
C_4.7u_35V_X7R_0805;F6;C;N/A;35V 4.7u X7R 0805(50V 4.7u X7R 0805 缺貨);https://www.digikey.tw/product-detail/zh/C2012X7R1V475K125AC/445-7555-1-ND/2733627;None;None;https://www.digikey.tw/product-detail/zh/tdk-corporation/C2012X7R1H475K125AC/445-C2012X7R1H475K125ACCT-ND;    None;    None
C_6.8p_50V_C0G_0603;book;C;N/A;N/A;Guang Hua;;;;;
C_8.2p_50V_C0G_0603;book;C;N/A;N/A;Guang Hua;;;;;
C_6.8n_50V_C0G_0603;H4;C;N/A;CAP CER 6800PF 50V C0G/NP0 0603;https://www.digikey.tw/product-detail/zh/murata-electronics/GRM1885C1H682JA01D/490-11477-1-ND;;;;;
C_68n_25V_X7R_0603;H4;C;N/A;CAP 68NF 25V X7R 0603;https://www.digikey.tw/product-detail/zh/yageo/CC0603KRX7R8BB683/311-4091-1-ND/;None;None;None;    None;    None
C_22u_25V_X7R_1210;E3;C;N/A;CAP CER 22UF 25V X7R 1210;https://www.digikey.tw/product-detail/en/murata-electronics/GRM32ER71E226ME15L/490-10758-1-ND/5251341;None;None;https://www.digikey.tw/product-detail/zh/taiyo-yuden/TMK325B7226MM-PR/587-5481-1-ND;https://www.digikey.tw/product-detail/zh/taiyo-yuden/TMK325B7226MMHP/587-TMK325B7226MMHPCT-ND/;https://www.digikey.tw/product-detail/en/avx-corporation/12103C226KAT2A/478-9964-1-ND/6149088
C_100u_10V_X5R_1210;K12;C;N/A;CAP CER 100UF 10V X5R 1210;https://www.digikey.tw/product-detail/zh/taiyo-yuden/LMK325ABJ107MM-T/587-6152-1-ND;None;None;None;None;None
L_2.2uH_18A_12X11;H5;L;N/A;FIXED IND 2.2UH 18A;https://www.digikey.tw/product-detail/zh/w-rth-elektronik/7443320220/732-2140-1-ND;;;;;
L_4.7uH_9.5A_10X10;H5;L;N/A;FIXED IND 4.7UH 9.5A;https://www.digikey.tw/product-detail/en/taiyo-yuden/NS10145T4R7NNA/587-3131-1-ND/2774693;None;None;https://www.digikey.tw/product-detail/zh/w-rth-elektronik/7447798470/732-2424-1-ND;None; None
L_10uH_140mA_1210;E3;L;N/A;FIXED IND 10UH 140MA;https://www.digikey.tw/product-detail/zh/murata-electronics/LQW32FT100M0HL/490-18065-1-ND;;;;;
L_BEAD_600R_500mA_100MHz_0603;H8;L;N/A;600ohm_100MHz_0603 MMZ1608Y601BTA00 in 0603;https://www.digikey.tw/product-detail/zh/tdk-corporation/MMZ1608Y601BTA00/445-1551-1-ND/;None;None;None;   None;   None
CON_PINHEAD_3X2_M_180;E7;CONNECTOR;N/A;N/A;Guang Hua;;;;;
CON_PINHEAD_4X2_M_180;E7;CONNECTOR;N/A;N/A;Guang Hua;;;;;
CON_PINHEAD_5X2_M_180;E7;CONNECTOR;N/A;N/A;Guang Hua;;;;;
CON_PINHEAD_1X2_M_180;E7;CONNECTOR;N/A;N/A;Guang Hua;;;;;
CON_PINHEAD_8X2_M_180;E7;CONNECTOR;N/A;N/A;Guang Hua;;;;;
CON_USB_MICRO;E3;CONNECTOR;N/A;micro usb connector SMD;https://www.digikey.tw/product-detail/zh/te-connectivity-amp-connectors/1981568-1/A97800CT-ND;;;;;
X_16MHz_NA_HC49S;E11-1;CRYSTAL;N/A;16M XTAL;Guang Hua;;;;;
CON_KK_2.54_3_M;F3-2;CONNECTOR;N/A;2.54mm 3P male connector;Guang Hua;None;None;None; None; None
CON_HV;D4-1;CONNECTOR;N/A;CONN JACK TEST HORIZ INSUL MIL B;https://www.digikey.tw/product-detail/zh/cinch-connectivity-solutions-johnson/105-2210-201/J586-ND/;;;;;
PCB_QSS011_GYROA_MAIN_P03;防潮箱A-1;PCBA;N/A;PCB for QSS011_GyroA_Main_P03;Emb PCB;None;None;None; None; None
PCBA_QSS011_GYROA_MAIN_P03;防潮箱A-4;PCBA;1;PCBA for QSS011_GyroA_Main_P03;Emb PCB;None;None;None; None; None
CON_PINHEAD_3X2_F;E8;CONNECTOR;N/A;3X2 pin female pin header ;Guang Hua ;;;;;
C_14p_50V_C0G_0402;K1;C;N/A;CAP CER 14pF 50V C0G/NP0 0402;https://www.digikey.tw/product-detail/zh/murata-electronics/GJM1555C1H140GB01D/490-14443-1-ND;None;None;None;  None;  None
D_SCHOTTKY_1PS70SB84_SOT323;E1;DIODE;N/A;DIODE ARRAY SCHOTTKY 15V SOT323;https://www.digikey.tw/product-detail/zh/nexperia-usa-inc/1PS70SB84,115/1727-5440-1-ND;;;;;
D_SCHOTTKY_1PS70SB85_SOT323;E1;DIODE;N/A;DIODE ARRAY SCHOTTKY 15V SOT323;https://www.digikey.tw/product-detail/zh/nexperia-usa-inc/1PS70SB85,115/1727-5441-1-ND;;;;;
D_SCHOTTKY_1PS70SB86_SOT323;E1;DIODE;N/A;DIODE ARRAY SCHOTTKY 15V SOT323;https://www.digikey.tw/product-detail/zh/nexperia-usa-inc/1PS70SB86,115/1727-5442-1-ND;;;;;
IC_EEPROM_34LC02-I/SN_SO8;H5;EERPOM;N/A;IC EEPROM 2K I2C 1MHZ 8SOIC ;https://www.digikey.tw/product-detail/zh/microchip-technology/34LC02-I-SN/34LC02-I-SN-ND/1635972;;;;;
L_BEAD_68R_1.5A_100MHz_0402;E1;L;N/A;FERRITE BEAD 68 OHM 0402 1LN;https://www.digikey.tw/product-detail/zh/taiyo-yuden/BKP1005TS680-TV/587-3961-1-ND;;;;;
